,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
198,1666,4/27/2021 15:39,2021-04-27 15:07:00,15,FALSE,Almond,Alicia,1,Middle Eastern or South Asian,Speech impairment or limited use of language,TRUE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction; Citation for infraction,2021-04-27 15:07:00,1,
199,1671,4/28/2021 10:29,2021-04-28 10:20:00,8,FALSE,Foothill Expwy,Arastradero Rd,1,Hispanic/Latino(a),,TRUE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,67mph in 45,Citation for infraction,2021-04-28 10:20:00,1,
200,1673,4/28/2021 11:24,2021-04-28 11:10:00,8,FALSE,Grant Rd,Foothill Expwy,1,White,,FALSE,60,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 45,Citation for infraction,2021-04-28 11:10:00,1,
201,1674,4/28/2021 15:46,2021-04-28 8:50:00,4,FALSE,Los Altos Avenue,Toyon,1,White,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,38mph in 25mph zone,Warning (verbal or written),2021-04-28 8:50:00,1,
202,1682,4/29/2021 14:10,2021-04-29 13:57:00,7,FALSE,Newcastle,Oakley,1,White,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,42mph in 25mph zone,Citation for infraction,2021-04-29 13:57:00,1,
203,1713,5/5/2021 8:33,2021-05-05 8:19:00,8,FALSE,Los Altos Avenue,El Camino Real,1,White,,FALSE,20,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-05-05 8:19:00,1,
204,1714,5/5/2021 15:01,2021-05-05 14:52:00,8,FALSE,Grant,Covington,1,Middle Eastern or South Asian,,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,44mph in 25mph zone,Citation for infraction,2021-05-05 14:52:00,1,
205,1715,5/5/2021 15:36,2021-05-05 15:35:00,10,FALSE,Almond ave,,1,Hispanic/Latino(a),,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in 25 mph zone,Citation for infraction,2021-05-05 15:35:00,1,
206,1723,5/6/2021 15:24,2021-05-06 15:11:00,8,FALSE,Almond,Avalon,1,Middle Eastern or South Asian,,FALSE,65,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,47mph in 25mph zone,Citation for infraction,2021-05-06 15:11:00,1,
207,1739,5/10/2021 13:39,2021-05-10 13:28:00,9,FALSE,Almond,,1,Asian,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45mph in 25mph zone,Citation for infraction,2021-05-10 13:28:00,1,
