,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
118,2038,6/18/2021 19:26,2021-06-18 19:25:00,10,FALSE,foothill,magdalena,1,Middle Eastern or South Asian,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62/45,Citation for infraction,2021-06-18 19:25:00,1,
119,2040,6/18/2021 19:43,2021-06-18 19:41:00,10,FALSE,foothill,springer,1,Asian,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66/45,Warning (verbal or written),2021-06-18 19:41:00,1,
120,2043,6/18/2021 22:04,2021-06-18 22:02:00,6,FALSE,miramonte,fremont,1,Middle Eastern or South Asian; White,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45/25,Warning (verbal or written),2021-06-18 22:02:00,1,
121,2046,6/19/2021 15:14,2021-06-19 14:07:00,10,FALSE,EL MONTE AV,UNIVERSITY AV,1,Hispanic/Latino(a),,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,DRIVER CITED FOR 12500A CVC AND RELEASED,Citation for infraction,2021-06-19 14:07:00,3,
122,2057,6/20/2021 2:58,2021-06-20 2:54:00,5,FALSE,ecr,,1,Asian,,TRUE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45/35,Warning (verbal or written),2021-06-20 2:54:00,1,
123,2060,6/20/2021 19:01,2021-06-20 18:58:00,10,FALSE,foothill,magdalena,1,White,,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,67 in 45,Citation for infraction,2021-06-20 18:58:00,1,
124,2061,6/20/2021 19:28,2021-06-20 19:27:00,10,FALSE,foothill,magdalena,1,White,,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63/45,Citation for infraction,2021-06-20 19:27:00,1,
125,2064,6/20/2021 21:41,2021-06-20 21:39:00,10,FALSE,foothill,magdalena,1,Asian,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63/45,Citation for infraction,2021-06-20 21:39:00,1,
126,2080,6/23/2021 15:26,2021-06-23 15:25:00,4,FALSE,Foothill,Springer,1,Asian,,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,57 in a 45,Warning (verbal or written),2021-06-23 15:25:00,1,
127,2089,6/24/2021 9:00,2021-06-24 8:59:00,2,FALSE,Foothill,Magdalena,1,Hispanic/Latino(a),,TRUE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,57 in a 45,Warning (verbal or written),2021-06-24 8:59:00,1,
128,2092,6/24/2021 20:10,2021-06-24 20:08:00,10,FALSE,foothill,magdalena,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,83/45,Citation for infraction,2021-06-24 20:08:00,1,
129,2098,6/28/2021 7:57,2021-06-28 7:45:00,10,FALSE,El Monte,University,1,Hispanic/Latino(a),,FALSE,55,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation," Made a right turn on red; two red arrows, 3 “ no right on red signs “",Citation for infraction,2021-06-28 7:45:00,3,
130,2148,7/5/2021 1:07,2021-07-04 21:58:00,10,FALSE,Foothill,Springer,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,73 in 45 zone,Citation for infraction,2021-07-04 21:58:00,1,
131,2167,7/8/2021 19:30,2021-07-08 19:00:00,5,FALSE,foothill,magdalena,1,White,,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,67/45,Warning (verbal or written),2021-07-08 19:00:00,1,
132,2171,7/8/2021 20:41,2021-07-08 20:40:00,6,FALSE,foothill,springer,1,White,,FALSE,55,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,67/45,Warning (verbal or written),2021-07-08 20:40:00,1,
